loss,num_features,frequency,percentage,combination,hamming_distance
0.081611111,7,70,7,"0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0",3
0.051055556,10,70,7,"0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1",6
0.046261111,12,70,7,"1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1",8
0.275866667,4,70,7,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0",0
0.055572222,9,70,7,"0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1",5
0.443533333,3,70,7,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0",1
0.6365,2,70,7,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0",4
0.064255556,8,70,7,"0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1",4
0.821127778,1,80,8,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0",3
0.047666667,11,70,7,"0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1",7
0.178533333,5,70,7,"0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0",1
0.045766667,13,70,7,"1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1",9
0.119794444,6,70,7,"0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0",2
0.045138889,15,80,8,"1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1",11
