loss,num_features,frequency,percentage,combination
0.40230769230769226,5,87,0.87,"0,0,0,1,1,1,0,0,0,1,1"
0.4146153846153846,4,1341,13.41,"0,1,0,0,0,1,0,0,0,1,1"
0.4061538461538462,5,12,0.12,"0,0,0,1,0,1,0,1,0,1,1"
0.39538461538461533,6,324,3.24,"1,0,1,1,0,1,0,1,0,0,1"
0.39230769230769236,7,1057,10.57,"0,1,0,1,0,1,1,0,1,1,1"
0.4076923076923077,5,12,0.12,"0,1,1,0,0,1,0,1,0,0,1"
0.4438461538461539,2,1372,13.72,"0,1,0,0,0,0,0,0,0,0,1"
0.3830769230769231,8,1398,13.98,"1,1,1,1,0,1,1,0,0,1,1"
0.38384615384615384,10,24,0.24,"0,1,1,1,1,1,1,1,1,1,1"
0.3930769230769231,7,50,0.5,"0,1,1,1,0,1,1,0,0,1,1"
0.3884615384615384,7,223,2.23,"1,1,0,1,0,0,0,1,1,1,1"
0.4015384615384615,6,35,0.35,"1,1,0,1,0,1,0,0,1,0,1"
0.38769230769230767,9,23,0.23,"1,1,1,0,1,1,1,0,1,1,1"
0.4246153846153846,3,1370,13.7,"0,1,0,0,0,0,1,0,0,0,1"
0.4784615384615385,1,1441,14.41,"0,0,0,0,0,0,0,0,0,0,1"
0.3992307692307693,5,1231,12.31,"0,1,0,0,1,1,1,0,0,0,1"
